service_num,stop_num,est_arrival,lat,lng,poll_timestamp
17,78229,1524918409,1.367588,103.95989066666667,"8:24:39"
17,78229,1524918412,1.3677071666666667,103.95973166666667,"8:25:12"
17,78111,1524918526,1.3677071666666667,103.95973166666667,"8:25:44"
17,78111,1524918541,1.3692243333333334,103.96044366666666,"8:26:16"
17,78111,1524918541,1.3692243333333334,103.96044366666666,"8:26:49"
17,78111,1524918544,1.3723426666666667,103.960592,"8:27:21"
17,78101,1524918667,1.3723426666666667,103.960592,"8:27:54"
17,78101,1524918676,1.3730833333333334,103.96080466666666,"8:28:25"
17,78101,1524918676,1.3730833333333334,103.96080466666666,"8:28:57"
17,78101,1524918716,1.3742313333333334,103.96106533333334,"8:29:30"
17,78101,1524918716,1.3742313333333334,103.96106533333334,"8:30:02"
170,07551,1524915446,1.3014688333333333,103.85489866666667,"7:38:57"
170,07531,1524915576,1.3016276666666666,103.852758,"7:39:29"
170,40011,1524915690,1.3016276666666666,103.852758,"7:40:01"
170,40271,1524915740,1.3042246666666666,103.8518615,"7:40:33"
170,40021,1524915822,1.3042246666666666,103.8518615,"7:41:05"
170,40021,1524915834,1.3042676666666666,103.85159633333333,"7:41:37"
170,40021,1524915834,1.3042676666666666,103.85159633333333,"7:42:10"
170,40031,1524915932,1.3060636666666667,103.849109,"7:42:42"
170,40031,1524915932,1.3079283333333334,103.84695666666667,"7:43:15"
170,40031,1524915932,1.3079283333333334,103.84695666666667,"7:43:47"
170,40041,1524916128,1.3102968333333334,103.84491566666667,"7:44:19"
170,40041,1524916128,1.3102968333333334,103.84491566666667,"7:44:51"
170,40041,1524916145,1.3103449999999999,103.84477483333333,"7:45:24"
170,40041,1524916145,1.3103449999999999,103.84477483333333,"7:45:55"
170,40041,1524916165,1.3112286666666666,103.84271233333334,"7:46:27"
170,40041,1524916165,1.3112286666666666,103.84271233333334,"7:47:00"
170,40041,1524916153,1.3120591666666668,103.8406045,"7:47:30"
170,40051,1524916216,1.3120591666666668,103.8406045,"7:48:02"
170,40051,1524916197,1.312279,103.84000833333333,"7:48:35"
170,40111,1524916276,1.312279,103.84000833333333,"7:49:07"
170,40111,1524916323,1.3135716666666666,103.838456,"7:49:39"
170,40111,1524916265,1.3158536666666667,103.83656283333333,"7:50:12"
170,40071,1524916318,1.3158536666666667,103.83656283333333,"7:50:44"
170,40081,1524916365,1.3167936666666666,103.835686,"7:51:16"
170,40091,1524916477,1.3167936666666666,103.835686,"7:51:48"
170,40091,1524916523,1.317987,103.8330035,"7:52:20"
170,40091,1524916523,1.317987,103.8330035,"7:52:53"
170,40091,1524916508,1.3191913333333334,103.82928533333333,"7:53:25"
170,41011,1524916584,1.3191913333333334,103.82928533333333,"7:53:58"
170,41011,1524916601,1.320082,103.8264365,"7:54:30"
170,41011,1524916601,1.320082,103.8264365,"7:55:02"
170,41021,1524916650,1.3202965,103.82568616666667,"7:55:35"
170,41031,1524916756,1.3202965,103.82568616666667,"7:56:07"
170,41031,1524916781,1.320343,103.825534,"7:56:39"
170,41031,1524916779,1.3218673333333333,103.8210605,"7:57:11"
170,41031,1524916779,1.3218673333333333,103.8210605,"7:57:43"
170,41041,1524916803,1.3227333333333333,103.81539116666667,"7:58:16"
170,41051,1524916865,1.3227333333333333,103.81539116666667,"7:58:48"
170,41051,1524916849,1.3227673333333334,103.814981,"7:59:21"
170,41061,1524916875,1.3227673333333334,103.814981,"7:59:53"
170,41071,1524916934,1.3231611666666667,103.811812,"8:00:26"
170,41081,1524917018,1.3231611666666667,103.811812,"8:00:58"
170,41081,1524916995,1.3241361666666667,103.81011833333334,"8:01:30"
170,42011,1524917053,1.3241361666666667,103.81011833333334,"8:02:02"
170,42011,1524917036,1.328883,103.80301366666667,"8:02:34"
170,42021,1524917078,1.328883,103.80301366666667,"8:03:07"
170,42031,1524917105,1.3300211666666666,103.79985016666667,"8:03:39"
170,42041,1524917147,1.3309628333333334,103.797128,"8:04:11"
170,42051,1524917208,1.3309628333333334,103.797128,"8:04:44"
170,42051,1524917214,1.3317398333333332,103.794834,"8:05:16"
170,42061,1524917259,1.3317398333333332,103.794834,"8:05:49"
170,42071,1524917127,1.3387731666666667,103.777023,"8:06:21"
170,42091,1524917268,1.3387731666666667,103.777023,"8:06:53"
170,42111,1524917329,1.3398233333333334,103.7762775,"8:07:25"
170,43011,1524917362,1.3398233333333334,103.7762775,"8:07:57"
170,43021,1524917479,1.3399433333333333,103.77617933333333,"8:08:29"
170,43021,1524917479,1.3399433333333333,103.77617933333333,"8:09:02"
170,43021,1524917440,1.3428571666666667,103.77543833333333,"8:09:34"
170,43041,1524917501,1.3428571666666667,103.77543833333333,"8:10:07"
170,43051,1524917554,1.3459536666666667,103.77250483333333,"8:10:39"
170,43061,1524917633,1.3486198333333332,103.77037716666666,"8:11:12"
170,43061,1524917633,1.3486198333333332,103.77037716666666,"8:11:44"
170,43061,1524917633,1.3515246666666667,103.76984733333333,"8:12:16"
170,43071,1524917685,1.3515246666666667,103.76984733333333,"8:12:48"
170,43081,1524917725,1.3559843333333332,103.76844833333334,"8:13:20"
170,43081,1524917725,1.3559843333333332,103.76844833333334,"8:13:52"
170,43091,1524917736,1.3587573333333334,103.76724616666667,"8:14:25"
170,43111,1524917791,1.3587573333333334,103.76724616666667,"8:14:57"
170,44011,1524917771,1.3668456666666666,103.76604683333333,"8:15:30"
170,44021,1524917812,1.3668456666666666,103.76604683333333,"8:16:02"
170,44041,1524917960,1.3693718333333333,103.76433966666667,"8:16:35"
170,44041,1524917960,1.3693718333333333,103.76433966666667,"8:17:07"
170,44041,1524917951,1.3745986666666665,103.76261616666666,"8:17:39"
170,44051,1524918037,1.3783455,103.76166616666667,"8:18:11"
170,44051,1524918037,1.3783455,103.76166616666667,"8:18:43"
170,43991,1524918107,1.3783468333333333,103.76166416666666,"8:19:16"
170,43991,1524918107,1.3783468333333333,103.76166416666666,"8:19:48"
170,44061,1524918152,1.3793803333333334,103.76121033333334,"8:20:21"
170,44061,1524918152,1.3793803333333334,103.76121033333334,"8:20:53"
170,45011,1524918232,1.3793803333333334,103.76121033333334,"8:21:26"
170,45011,1524918232,1.3793803333333334,103.76121033333334,"8:21:58"
170,45021,1524918261,1.3810961666666666,103.76032733333334,"8:22:30"
170,45031,1524918293,1.3810961666666666,103.76032733333334,"8:23:03"
170,45041,1524918384,1.3835286666666666,103.75895833333334,"8:23:34"
170,45041,1524918384,1.3835286666666666,103.75895833333334,"8:24:07"
170,45041,1524918374,1.3865506666666667,103.75634016666666,"8:24:39"
170,45051,1524918450,1.389693,103.754705,"8:25:12"
170,45051,1524918450,1.389693,103.754705,"8:25:44"
170,45061,1524918519,1.3933176666666667,103.75396016666667,"8:26:16"
170,45061,1524918519,1.3933176666666667,103.75396016666667,"8:26:49"
170,45071,1524918601,1.3961885,103.75427566666667,"8:27:21"
170,45071,1524918601,1.3961885,103.75427566666667,"8:27:54"
170,45071,1524918601,1.400486,103.75557616666667,"8:28:26"
170,45091,1524918661,1.400486,103.75557616666667,"8:28:57"
170,45091,1524918642,1.4035243333333334,103.756077,"8:29:30"
170,45101,1524918681,1.4035243333333334,103.756077,"8:30:02"
170,45111,1524918707,1.4095155,103.7556895,"8:30:35"
170,45121,1524918765,1.4095155,103.7556895,"8:31:07"
170,45131,1524918794,1.4097303333333333,103.75568616666666,"8:31:40"
170,46021,1524918894,1.4218338333333334,103.75582233333333,"8:32:12"
170,46021,1524918894,1.4218338333333334,103.75582233333333,"8:32:44"
